country,region
Mexico,North America
Costa Rica,Central America
El Salvador,Central America
Guatemala,Central America
Honduras,Central America
Nicaragua,Central America
Panama,Central America
Cuba,Caribbean
Dominican Republic,Caribbean
Puerto Rico,Caribbean
Argentina,South America
Bolivia,South America
Chile,South America
Columbia,South America
Ecuador,South America
Paraguay,South America
Peru,South America
Uruguay,South America
Venezuela,South America
Spain,Europe
Equatorial Guinea,Africa
